,Date,Round,Comment,Winner,Loser,MaxW,MaxL,ProbaWinner,ProbaLoser,PariW,PariL,Gains
1,14/01/13,1st Round,Completed,Goerges J.,Dushevina V.,1.42,3.75,0.54628017346606,0.45371982653394,0,0,0
2,14/01/13,1st Round,Completed,Pliskova Kr.,Jones S.,1.91,2.25,0.580429588896148,0.419570411103852,1,0,0.91
3,14/01/13,1st Round,Completed,Sharapova M.,Puchkova O.,1.03,29,0.985830408251013,0.0141695917489867,1,0,0.03
4,14/01/13,1st Round,Completed,Li N.,Karatantcheva S.,1.05,17.5,0.729691639399074,0.270308360600926,0,0,0
5,14/01/13,1st Round,Completed,Oprandi R.,Pironkova T.,2.65,1.59,0.594921020616408,0.405078979383592,1,0,1.65
6,14/01/13,1st Round,Completed,Govortsova O.,Parmentier P.,1.73,2.55,0.554964632920054,0.445035367079946,0,0,0
7,14/01/13,1st Round,Completed,Cirstea S.,Vandeweghe C.,1.85,2.22,0.0952134416665293,0.904786558333471,0,1,-1
8,14/01/13,1st Round,Completed,Williams V.,Voskoboeva G.,1.25,5,0.622012496914664,0.377987503085336,0,0,0
9,14/01/13,1st Round,Completed,Stosur S.,Chang K.C.,1.31,4.8,0.713244721993949,0.286755278006051,0,0,0
10,14/01/13,1st Round,Completed,Radwanska A.,Bobusic B.,1.02,34,NA,NA,0,0,0
11,14/01/13,1st Round,Completed,Cornet A.,Erakovic M.,2.08,1.91,0.273628011308791,0.726371988691209,0,1,-1
12,14/01/13,1st Round,Completed,Makarova E.,Larcherde Brito M.,1.18,6.38,0.954522599700103,0.0454774002998973,1,0,0.18
13,14/01/13,1st Round,Completed,Flipkens K.,Bratchikova N.,1.22,5.5,0.626739240852739,0.373260759147261,0,0,0
14,14/01/13,1st Round,Completed,Doi M.,Martic P.,1.73,2.42,0.609610139114036,0.390389860885964,1,0,0.73
15,14/01/13,1st Round,Completed,Zakopalova K.,Scheepers C.,1.58,2.8,0.201518630699043,0.798481369300957,0,1,-1
16,14/01/13,1st Round,Completed,Jankovic J.,Larsson J.,1.38,3.95,0.644022001538683,0.355977998461317,0,0,0
17,14/01/13,1st Round,Completed,Koehler M.J.,Knapp K.,2.02,1.99,0.477193556162728,0.522806443837272,0,1,-1
18,14/01/13,1st Round,Completed,Paszek T.,Voegele S.,2.45,1.7,0.293598205364268,0.706401794635732,0,1,-1
19,14/01/13,1st Round,Completed,Zheng J.,Zhang Y.,1.18,6.34,0.848742671208986,0.151257328791014,1,0,0.18
20,14/01/13,1st Round,Completed,Begu I.,Rus A.,1.5,3.35,0.709569056670204,0.290430943329796,1,0,0.5
21,14/01/13,1st Round,Completed,Dolonc V.,Rogowska O.,1.25,5.39,NA,NA,0,0,0
22,14/01/13,1st Round,Completed,Kerber A.,Svitolina E.,1.11,10.5,NA,NA,0,0,0
23,14/01/13,1st Round,Completed,Bartoli M.,Medina Garrigues A.,1.44,3.7,0.612992747925194,0.387007252074806,0,0,0
24,14/01/13,1st Round,Completed,Savinykh V.,Minella M.,1.92,2.05,0.684483703738612,0.315516296261388,1,0,0.92
25,14/01/13,1st Round,Completed,Cibulkova D.,Barty A.,1.22,6,0.869058265452411,0.130941734547589,1,0,0.22
26,14/01/13,1st Round,Completed,Hradecka L.,Bertens K.,2.62,1.67,0.568364426021165,0.431635573978835,1,0,1.62
27,14/01/13,1st Round,Completed,Watson H.,Cadantu A.,1.18,7.1,NA,NA,0,0,0
28,14/01/13,1st Round,Completed,Foretz S.,Giorgi C.,3.75,1.5,NA,NA,0,0,0
29,14/01/13,1st Round,Completed,Chan Y.J.,Hantuchova D.,2.9,1.57,0.378808473520873,0.621191526479127,0,0,0
30,14/01/13,1st Round,Completed,Pervak K.,Barthel M.,3.35,1.45,0.268092211494487,0.731907788505513,0,1,-1
31,14/01/13,1st Round,Completed,Keys M.,Dellacqua C.,1.24,5.7,0.679004633414786,0.320995366585214,0,0,0
32,14/01/13,1st Round,Completed,Ivanovic A.,Czink M.,1.1,13,0.751378845766668,0.248621154233332,0,0,0
33,15/01/13,1st Round,Completed,Vesnina E.,Garcia C.,1.14,11.25,0.41576151090464,0.58423848909536,0,1,-1
34,15/01/13,1st Round,Completed,Kuznetsova S.,Dominguez Lino L.,1.22,6.3,NA,NA,0,0,0
35,15/01/13,1st Round,Completed,Peng S.,Marino R.,1.22,5.9,NA,NA,0,0,0
36,15/01/13,1st Round,Completed,Peer S.,Panova A.,2.2,1.8,0.487106505791935,0.512893494208065,0,0,0
37,15/01/13,1st Round,Completed,Date Krumm K.,Petrova N.,4.95,1.32,0.683419446101318,0.316580553898682,1,0,3.95
38,15/01/13,1st Round,Completed,Wozniacki C.,Lisicki S.,1.53,3.14,0.942931537361543,0.057068462638457,1,0,0.53
39,15/01/13,1st Round,Completed,Hsieh S.W.,Arruabarrena-Vecino L.,1.37,3.95,NA,NA,0,0,0
40,15/01/13,1st Round,Completed,Kirilenko M.,King V.,1.33,4.4,0.59233944084996,0.40766055915004,0,0,0
41,15/01/13,1st Round,Completed,Suarez Navarro C.,Errani S.,8.7,1.14,0.630448171045889,0.369551828954111,1,0,7.7
42,15/01/13,1st Round,Completed,Lepchenko V.,Hercog P.,1.45,3.31,0.0860997749091895,0.913900225090811,0,1,-1
43,15/01/13,1st Round,Completed,Kvitova P.,Schiavone F.,1.35,4.1,0.815304121428831,0.184695878571169,1,0,0.35
44,15/01/13,1st Round,Completed,Vinci R.,Soler Espinosa S.,1.13,7.6,0.997659126012407,0.00234087398759308,1,0,0.13
45,15/01/13,1st Round,Completed,Azarenka V.,Niculescu M.,1.04,23,0.777164513794513,0.222835486205487,0,0,0
46,15/01/13,1st Round,Completed,Putintseva Y.,Mchale C.,2.65,1.59,0.696554552613246,0.303445447386754,1,0,1.65
47,15/01/13,1st Round,Completed,Williams S.,Gallovits E.,1.02,91,0.845235368975978,0.154764631024022,0,0,0
48,15/01/13,1st Round,Completed,Beck A.,Shvedova Y.,2.45,1.67,NA,NA,0,0,0
49,15/01/13,1st Round,Completed,Safarova L.,Lucic M.,1.22,5.5,NA,NA,0,0,0
50,15/01/13,1st Round,Completed,Jovanovski B.,Torro Flor M.T.,1.42,3.5,0.989018776050174,0.0109812239498263,1,0,0.42
51,15/01/13,1st Round,Completed,Muguruza G.,Rybarikova M.,2.25,1.81,NA,NA,0,0,0
52,15/01/13,1st Round,Completed,Vekic D.,Hlavackova A.,2.16,2.15,NA,NA,0,0,0
53,15/01/13,1st Round,Completed,Robson L.,Oudin M.,1.27,5.1,0.978572902717982,0.0214270972820184,1,0,0.27
54,15/01/13,1st Round,Completed,Stephens S.,Halep S.,1.3,4.5,0.516023198836399,0.483976801163601,0,0,0
55,15/01/13,1st Round,Completed,Mladenovic K.,Babos T.,2.05,2,NA,NA,0,0,0
56,15/01/13,1st Round,Completed,Gavrilova D.,Davis L.,3.1,1.49,NA,NA,0,0,0
57,15/01/13,1st Round,Completed,Daniilidou E.,Pliskova Ka.,2.2,1.84,0.527954083184061,0.472045916815939,1,0,1.2
58,15/01/13,1st Round,Completed,Morita A.,Tatishvili A.,1.67,2.6,0.447232905612014,0.552767094387986,0,1,-1
59,15/01/13,1st Round,Completed,Amanmuradova A.,Johansson M.,2,2.09,0.56719824639407,0.43280175360593,1,0,1
60,15/01/13,1st Round,Completed,Kumkhum L.,Arvidsson S.,3.5,1.4,NA,NA,0,0,0
61,15/01/13,1st Round,Completed,Cepelova J.,Arn G.,2.38,1.96,0.348021831348051,0.651978168651949,0,1,-1
62,15/01/13,1st Round,Completed,Tsurenko L.,Pavlyuchenkova A.,4.4,1.36,NA,NA,0,0,0
