,Date,Round,Comment,Winner,Loser,MaxW,MaxL,ProbaWinner,ProbaLoser,PariW,PariL,Gains
1,26/05/13,1st Round,Completed,Cetkovska P.,Puchkova O.,1.7,2.7,NA,NA,0,0,0
2,26/05/13,1st Round,Completed,Ivanovic A.,Martic P.,1.1,11,0.900935813499646,0.0990641865003538,0,0,0
3,26/05/13,1st Round,Completed,Pavlyuchenkova A.,Hlavackova A.,1.24,5.2,0.619886636942285,0.380113363057715,0,0,0
4,26/05/13,1st Round,Completed,Errani S.,Rus A.,1.05,26,0.787147987199829,0.212852012800171,0,0,0
5,26/05/13,1st Round,Completed,Putintseva Y.,Morita A.,1.95,2.24,0.744102696964368,0.255897303035632,1,0,0.95
6,26/05/13,1st Round,Completed,Burdette M.,Vekic D.,1.71,2.48,NA,NA,0,0,0
7,26/05/13,1st Round,Completed,Williams S.,Tatishvili A.,1.02,41,0.955028614706233,0.0449713852937669,0,0,0
8,26/05/13,1st Round,Completed,Garcia C.,Beygelzimer Y.,1.9,2.1,NA,NA,0,0,0
9,26/05/13,1st Round,Completed,Puig M.,Petrova N.,3.75,1.45,0.673818182035381,0.326181817964619,1,0,2.75
10,26/05/13,1st Round,Completed,Rogers S.,Pavlovic I.,1.37,3.56,NA,NA,0,0,0
11,26/05/13,1st Round,Completed,Razzano V.,Feuerstein C.,1.7,2.56,NA,NA,0,0,0
12,26/05/13,1st Round,Completed,Pfizenmaier D.,Minella M.,1.67,2.7,0.626325746492173,0.373674253507827,1,0,0.67
13,26/05/13,1st Round,Completed,Lisicki S.,Arvidsson S.,1.15,8.1,0.828902799926656,0.171097200073344,0,0,0
14,26/05/13,1st Round,Completed,Voskoboeva G.,Min G.,1.57,2.8,NA,NA,0,0,0
15,26/05/13,1st Round,Completed,Cirstea S.,Bertens K.,2.25,1.85,0.412356715013441,0.587643284986559,0,1,-1
16,26/05/13,1st Round,Completed,Radwanska U.,Williams V.,2.9,1.69,0.282740524121911,0.717259475878089,0,1,-1
17,27/05/13,1st Round,Completed,Vinci R.,Foretz S.,1.1,9.65,NA,NA,0,0,0
18,27/05/13,1st Round,Completed,Kucova Z.,Goerges J.,4.85,1.27,0.127103108771117,0.872896891228882,0,1,-1
19,27/05/13,1st Round,Completed,Li N.,Medina Garrigues A.,1.22,5.7,0.669048952338751,0.330951047661249,0,0,0
20,27/05/13,1st Round,Completed,Larsson J.,Niculescu M.,2.63,1.77,0.451239472609644,0.548760527390356,0,0,0
21,27/05/13,1st Round,Completed,Radwanska A.,Peer S.,1.11,9.8,0.756151233096441,0.243848766903559,0,0,0
22,27/05/13,1st Round,Completed,Suarez Navarro C.,Halep S.,1.87,2.2,0.732683274736908,0.267316725263092,1,0,0.87
23,27/05/13,1st Round,Completed,Mattek-Sands B.,Dominguez Lino L.,1.5,2.95,NA,NA,0,0,0
24,27/05/13,1st Round,Completed,King V.,Cadantu A.,2.02,2.17,0.752829348029949,0.247170651970051,1,0,1.02
25,27/05/13,1st Round,Completed,Torro Flor M.T.,Glushko J.,1.27,4.8,0.311413675811957,0.688586324188043,0,1,-1
26,27/05/13,1st Round,Completed,Svitolina E.,Oprandi R.,4.05,1.3,NA,NA,0,0,0
27,27/05/13,1st Round,Completed,Lepchenko V.,Lucic M.,1.27,4.65,NA,NA,0,0,0
28,27/05/13,1st Round,Completed,Johansson M.,Scheepers C.,2.98,1.6,0.519637350737285,0.480362649262715,1,0,1.98
29,27/05/13,1st Round,Completed,Oudin M.,Paszek T.,1.37,3.55,0.567406185430961,0.432593814569039,0,0,0
30,27/05/13,1st Round,Completed,Jovanovski B.,Zahlavova Strycova B.,2.55,1.9,0.410789754044211,0.589210245955789,0,1,-1
31,27/05/13,1st Round,Completed,Wozniacki C.,Robson L.,2,2.56,0.616362865696095,0.383637134303905,1,0,1
32,27/05/13,1st Round,Completed,Cepelova J.,Mchale C.,3.35,1.4,NA,NA,0,0,0
33,27/05/13,1st Round,Completed,Keys M.,Doi M.,1.33,3.95,NA,NA,0,0,0
34,27/05/13,1st Round,Completed,Kerber A.,Barthel M.,1.41,3.35,0.615740926652672,0.384259073347328,0,0,0
35,27/05/13,1st Round,Completed,Rybarikova M.,Parmentier P.,1.5,2.95,0.516553742204254,0.483446257795746,0,0,0
36,27/05/13,1st Round,Completed,Zheng J.,Dolonc V.,1.43,3.55,NA,NA,0,0,0
37,27/05/13,1st Round,Completed,Kuznetsova S.,Makarova E.,1.62,2.7,0.572703451478927,0.427296548521073,0,0,0
38,27/05/13,1st Round,Completed,Muguruza G.,Pliskova Ka.,1.44,3.35,NA,NA,0,0,0
39,27/05/13,1st Round,Completed,Stephens S.,Knapp K.,1.57,2.86,0.408928608118726,0.591071391881274,0,1,-1
40,27/05/13,1st Round,Completed,Bouchard E.,Pironkova T.,1.38,3.65,0.669889750813798,0.330110249186202,0,0,0
41,27/05/13,1st Round,Completed,Ormaechea P.,Malek T.,1.25,5.9,0.996226374202064,0.00377362579793616,1,0,0.25
42,27/05/13,1st Round,Completed,Schiavone F.,Czink M.,1.26,4.95,0.60456867267864,0.39543132732136,0,0,0
43,27/05/13,1st Round,Completed,Sharapova M.,Hsieh S.W.,1.03,34,NA,NA,0,0,0
44,27/05/13,1st Round,Completed,Flipkens K.,Pennetta F.,2.55,1.7,0.0436881943006546,0.956311805699345,0,1,-1
45,28/05/13,1st Round,Completed,Bartoli M.,Govortsova O.,1.62,2.65,0.320335011062903,0.679664988937097,0,1,-1
46,28/05/13,1st Round,Completed,Stosur S.,Date Krumm K.,1.06,18,0.795605992058476,0.204394007941524,0,0,0
47,28/05/13,1st Round,Completed,Duque Marino M.,Pliskova Kr.,1.33,4.95,NA,NA,0,0,0
