,Date,Round,Comment,Winner,Loser,MaxW,MaxL,ProbaWinner,ProbaLoser,PariW,PariL,Gains,NbOppCom
1,26/08/13,1st Round,Completed,Arvidsson S.,Cetkovska P.,2.5,1.66,NA,NA,0,0,0,0
2,26/08/13,1st Round,Completed,Suarez Navarro C.,Davis L.,1.4,3.45,0.660820357695581,0.339179642304419,0,0,0,5
3,26/08/13,1st Round,Completed,Li N.,Govortsova O.,1.09,12,0.23975257075126,0.76024742924874,0,1,-1,8
4,26/08/13,1st Round,Completed,Mayr P.,Rybarikova M.,7.04,1.17,0.0828386458024037,0.917161354197596,0,1,-1,3
5,26/08/13,1st Round,Completed,Robson L.,Dominguez Lino L.,1.6,2.72,0.446388035011999,0.553611964988001,0,1,-1,7
6,26/08/13,1st Round,Completed,Torro Flor M.T.,Erakovic M.,4.05,1.42,0.568920014813708,0.431079985186292,1,0,3.05,3
7,26/08/13,1st Round,Completed,Vandeweghe C.,Krunic A.,1.63,2.75,NA,NA,0,0,0,0
8,26/08/13,1st Round,Completed,Kanepi K.,King V.,1.65,2.76,0.673180537157867,0.326819462842133,1,0,0.65,8
9,26/08/13,1st Round,Completed,Radwanska A.,Soler Espinosa S.,1.04,23.5,0.84909794450217,0.15090205549783,0,0,0,7
10,26/08/13,1st Round,Completed,Garcia C.,Rogers S.,2.2,1.83,NA,NA,0,0,0,0
11,26/08/13,1st Round,Completed,Hampton J.,Arruabarrena-Vecino L.,1.12,9,NA,NA,0,0,0,0
12,26/08/13,1st Round,Completed,Williams V.,Flipkens K.,1.91,2.22,0.824109190175797,0.175890809824203,1,0,0.91,12
13,26/08/13,1st Round,Completed,Lisicki S.,Dushevina V.,1.32,4.5,0.500269030143126,0.499730969856874,0,0,0,4
14,26/08/13,1st Round,Completed,Schmiedlova A.,Voegele S.,2.34,1.74,NA,NA,0,0,0,0
15,26/08/13,1st Round,Completed,Cirstea S.,Fichman S.,1.38,4,0.778188632392656,0.221811367607344,1,0,0.38,6
16,26/08/13,1st Round,Completed,Pavlyuchenkova A.,Razzano V.,1.36,3.75,0.605994816919284,0.394005183080716,0,0,0,13
17,26/08/13,1st Round,Completed,Shvedova Y.,Puchkova O.,1.68,2.64,0.480524260014633,0.519475739985367,0,1,-1,4
18,26/08/13,1st Round,Completed,Stephens S.,Minella M.,1.1,11.97,0.761867247490313,0.238132752509687,0,0,0,9
19,26/08/13,1st Round,Completed,Radwanska U.,Begu I.,1.35,3.75,0.534447542624786,0.465552457375214,0,0,0,10
20,26/08/13,1st Round,Completed,Ormaechea P.,Date Krumm K.,2.25,1.88,0.502168657722104,0.497831342277896,1,0,1.25,3
21,26/08/13,1st Round,Completed,Barty A.,Cabeza-Candela E.,1.73,2.44,NA,NA,0,0,0,0
22,26/08/13,1st Round,Completed,Zheng J.,Bertens K.,1.73,2.44,0.446728176005202,0.553271823994798,0,1,-1,7
23,26/08/13,1st Round,Completed,Mladenovic K.,Medina Garrigues A.,1.74,2.58,0.313987807845584,0.686012192154416,0,1,-1,6
24,26/08/13,1st Round,Completed,Nara K.,Cadantu A.,1.63,2.65,0.685306526226136,0.314693473773864,1,0,0.63,2
25,26/08/13,1st Round,Completed,Kleybanova A.,Puig M.,2.75,1.62,0.360032467323379,0.639967532676621,0,1,-1,4
26,26/08/13,1st Round,Completed,Makarova E.,Hercog P.,1.25,5.3,0.703656612268412,0.296343387731588,0,0,0,15
27,26/08/13,1st Round,Completed,Voskoboeva G.,Niculescu M.,2.49,1.7,0.518957138017893,0.481042861982107,1,0,1.49,6
28,26/08/13,1st Round,Completed,Bouchard E.,Pliskova Ka.,1.3,4.4,0.66042490121709,0.33957509878291,0,0,0,3
29,26/08/13,1st Round,Completed,Mattek-Sands B.,Johansson M.,1.22,5.98,0.627195186606743,0.372804813393257,0,0,0,6
30,27/08/13,1st Round,Completed,Jankovic J.,Keys M.,1.5,3.5,0.526868410638371,0.473131589361629,0,0,0,9
31,27/08/13,1st Round,Completed,Kerber A.,Hradecka L.,1.12,8.69,0.690607747840376,0.309392252159624,0,0,0,11
32,27/08/13,1st Round,Completed,Williams S.,Schiavone F.,1.04,25,0.923475189419012,0.0765248105809884,0,0,0,18
33,27/08/13,1st Round,Completed,Vinci R.,Babos T.,1.18,6.75,0.796387587146055,0.203612412853945,0,0,0,8
34,27/08/13,1st Round,Completed,Giorgi C.,Cepelova J.,1.73,2.9,0.584373895840841,0.415626104159159,0,1,-1,2
35,27/08/13,1st Round,Completed,Hsieh S.W.,Zakopalova K.,3.9,1.36,NA,NA,0,0,0,0
36,27/08/13,1st Round,Completed,Kirilenko M.,Wickmayer Y.,1.33,4.2,0.568770926304643,0.431229073695357,0,0,0,12
37,27/08/13,1st Round,Completed,Safarova L.,Tsurenko L.,1.6,2.8,NA,NA,0,0,0,0
38,27/08/13,1st Round,Completed,Ivanovic A.,Tatishvili A.,1.18,6.3,0.0864169462324703,0.91358305376753,0,1,-1,11
39,27/08/13,1st Round,Completed,Larcherde Brito M.,Daniilidou E.,1.45,3.55,0.620903398149789,0.379096601850211,0,0,0,7
40,27/08/13,1st Round,Completed,Vesnina E.,Beck A.,1.42,3.9,0.603539837299587,0.396460162700413,0,0,0,3
